from_stop_id,to_stop_id,transfer_type,min_transfer_time
3217,10860,0,
3217,8033,0,
4455,11678,0,
4459,4210,0,
4459,4242,2,120
4459,4471,2,120
4459,4475,2,120
4459,4568,2,120
4459,10867,2,120
4459,8037,2,120
4461,4461,2,120
4568,4242,0,
4568,4471,2,120
4568,4475,2,120
4568,4459,2,120
4568,10867,2,120
4568,8037,2,120
1761,4163,2,120
1761,4067,2,120
1761,452,2,120
1761,4143,2,120
1761,4119,2,120
1761,1761,2,120
1761,4381,2,120
1761,4474,2,120
1761,451,2,120
1761,1775,2,120
1761,10873,2,120
4371,4218,0,
4371,4065,0,
4381,4163,2,120
4381,4067,2,120
4381,452,2,120
4381,4143,2,120
4381,4119,2,120
4381,1761,2,120
4381,4474,2,120
4381,451,2,120
4381,1775,2,120
4381,10873,2,120
4390,4218,0,
3695,3731,0,
3695,3815,0,
3695,9397,0,
3480,11108,0,
3480,3057,0,
3743,10569,0,
3749,3689,0,
3681,9533,2,480
3756,3711,0,
1857,8535,2,360
1857,8040,2,300
1857,1856,0,
4396,4200,0,
4403,4560,2,480
4403,4569,0,
9138,8605,0,
9138,4355,0,
2798,2479,0,
2430,2434,0,
2430,2478,0,
2477,3023,0,
2477,2630,0,
2477,2692,2,120
2477,2799,2,120
2477,10429,2,120
2477,8051,0,
2477,8066,0,
2478,2430,0,
2478,2478,0,
2478,2435,0,
1793,1550,0,
1793,1793,0,
1793,1563,0,
2610,1177,0,
8443,11570,0,
8443,2539,0,
8443,8048,0,
8443,8069,0,
2971,2847,0,
2971,2928,0,
9043,1888,0,
9043,1863,0,
9505,8673,0,
9505,8743,0,
9505,8674,0,
9505,8751,0,
9505,8760,0,
1561,2745,0,
1561,1561,0,
1561,1552,0,
1562,1562,0,
9528,3698,2,480
9528,9528,0,
9533,3698,2,360
8574,8561,2,120
8574,8575,2,120
8574,8578,0,
8574,8577,0,
9282,9282,0,
9282,3982,0,
10132,3784,0,
10132,3975,0,
3973,3801,0,
3053,3394,2,120
3053,3334,2,120
3053,3533,2,120
3053,3204,2,120
3053,3053,2,120
3053,3927,2,120
3053,3904,2,120
3053,3195,2,120
3053,3906,2,120
3053,3067,2,120
3053,8021,2,120
3053,8998,2,120
3053,8032,2,120
3053,7643,2,120
3856,3856,0,
3868,3873,0,
3868,9257,0,
3869,3825,2,480
3869,7742,2,480
4474,4163,2,120
4474,4067,2,120
4474,452,2,120
4474,4143,2,120
4474,4119,2,120
4474,4381,2,120
